time/(min);t;concentration(g/L);c_conv[999];c_conv
;0;;0;0
0.323572603;19.41435616;0.000184283;-1.30E-05;0
0.37750137;22.65008219;0.000182291;-1.50E-05;0
0.431430137;25.88580822;0.00021669;1.94E-05;0
0.485358904;29.12153425;0.000271109;7.38E-05;0
0.539287671;32.35726027;0.000407437;0.000210115;0
0.593216438;35.5929863;0.000629518;0.000432196;0
0.647145205;38.82871233;0.00091415;0.000716829;0
0.701073973;42.06443836;0.00136124;0.001163918;0
0.75500274;45.30016438;0.001880645;0.001683323;0
0.808931507;48.53589041;0.002420458;0.002223136;0
0.862860274;51.77161644;0.00292478;0.002727458;0
0.916789041;55.00734247;0.003311139;0.003113817;0
0.970717808;58.24306849;0.00353117;0.003333849;0
1.024646575;61.47879452;0.003563085;0.003365764;0
1.078575342;64.71452055;0.003411771;0.00321445;0
1.13250411;67.95024658;0.003155678;0.002958357;0
1.186432877;71.1859726;0.002786139;0.002588817;0
1.240361644;74.42169863;0.002417776;0.002220455;0
1.294290411;77.65742466;0.002018842;0.00182152;0
1.348219178;80.89315068;0.001680538;0.001483216;0
1.402147945;84.12887671;0.001364506;0.001167184;0
1.456076712;87.36460274;0.001126497;0.000929175;0
1.510005479;90.60032877;0.000893583;0.000696262;0
1.563934247;93.83605479;0.000752303;0.000554982;0
1.617863014;97.07178082;0.000606892;0.000409571;0
1.671791781;100.3075068;0.000517398;0.000320076;0
1.725720548;103.5432329;0.00044578;0.000248458;0
1.779649315;106.7789589;0.000393148;0.000195826;0
1.833578082;110.0146849;0.000353766;0.000156444;0
1.887506849;113.250411;0.000316028;0.000118706;0
1.941435616;116.486137;0.000306459;0.000109138;0
1.995364384;119.721863;0.000292039;9.47E-05;0
2.049293151;122.957589;0.000280375;8.31E-05;0
2.103221918;126.1933151;0.000257735;6.04E-05;0
2.157150685;129.4290411;0.000252421;5.51E-05;0
2.211079452;132.6647671;0.000257343;6.00E-05;0
2.265008219;135.9004932;0.000253117;5.58E-05;0
2.318936986;139.1362192;0.000247877;5.06E-05;0
2.372865753;142.3719452;0.00023353;3.62E-05;0
2.426794521;145.6076712;0.00023772;4.04E-05;0
2.480723288;148.8433973;0.000221625;2.43E-05;0
2.534652055;152.0791233;0.000229589;3.23E-05;0
2.588580822;155.3148493;0.000207164;9.84E-06;0
2.642509589;158.5505753;0.000216437;1.91E-05;0
2.696438356;161.7863014;0.000218353;2.10E-05;0
2.750367123;165.0220274;0.000200225;2.90E-06;0
